names,date,score,genre,country
Orphan: First Kill,9/1/2022,68,"Horror, Thriller",AU
Fullmetal Alchemist: The Final Alchemy,6/24/2022,63,"Action, Adventure, Fantasy",JP
Malcriados,2/15/2023,78,Comedy,MX
Polar,10/26/2022,66,"Action, Adventure, Thriller",ES
Jesus,10/19/1979,83,"Drama, History",US
Harry Potter and the Half-Blood Prince,7/15/2009,77,"Adventure, Fantasy",AU
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,9/30/2022,61,Animation,JP
Noise,3/17/2023,49,"Drama, Thriller",US
The Infernal Machine,9/23/2022,66,"Thriller, Mystery",US
Abandoned,6/17/2022,63,"Horror, Mystery, Thriller",US
The Ten Commandments: The Movie,1/28/2016,72,Drama,BR
The Avengers,4/25/2012,77,"Science Fiction, Action, Adventure",AU
The Avengers,4/25/2012,77,"Science Fiction, Action, Adventure",AU
Still Time,10/22/2022,65,"Romance, Comedy, Drama",IT
Exodus: Gods and Kings,12/11/2014,58,"Adventure, Drama, Action",AU
Wolf Hound,9/1/2022,66,"War, Action",AU
The Little Mermaid,5/26/2023,0,"Adventure, Family, Fantasy, Romance",US
F9,6/17/2021,72,"Action, Adventure, Crime, Thriller",AU
The Wolf of Wall Street,1/22/2014,80,"Crime, Drama, Comedy",AU
Pinball: The Man Who Saved the Game,3/17/2023,78,"Comedy, Drama, History, Romance",US
"Tad, the Lost Explorer and the Emerald Tablet",12/8/2022,76,"Animation, Adventure, Comedy, Family, Fantasy",AU
Brothers,3/18/2010,73,"Drama, Thriller, War",AU
Brothers,3/18/2010,73,"Drama, Thriller, War",AU
Harry Potter and the Prisoner of Azkaban,6/3/2004,80,"Adventure, Fantasy",AU
Out of the Blue,10/20/2022,46,"Thriller, Romance",AU
RRR,3/25/2022,78,"Action, Drama",AU
Broker,3/30/2023,72,"Drama, Comedy",AU
The Black Phone,6/30/2022,78,"Horror, Thriller",AU
Tom and Jerry Snowman's Land,11/15/2022,69,"Family, Comedy, Animation, Adventure",US
Transformers: Rise of the Beasts,6/9/2023,0,"Action, Adventure, Science Fiction",US
Avengers: Endgame,4/24/2019,83,"Adventure, Science Fiction, Action",AU
Spider-Man: Across the Spider-Verse,6/2/2023,0,"Animation, Action, Adventure, Science Fiction",US
MexZombies,10/26/2022,71,"Horror, Action, Comedy",US
Harry Potter and the Order of the Phoenix,7/11/2007,77,"Adventure, Fantasy, Mystery",AU
The Northman,4/21/2022,71,"Action, Adventure, Fantasy",AU
I Believe,11/7/2017,70,"Family, Drama",US
Blue's Big City Adventure,11/18/2022,74,"Family, Adventure, Music, Animation",AU
After Ever Happy,9/8/2022,69,"Romance, Drama",AU
On the Line,11/17/2022,62,Thriller,AU
Ben-Hur,5/12/1960,79,"Action, Drama, History",AU
Ben-Hur,5/12/1960,79,"Action, Drama, History",AU
The Next 365 Days,8/19/2022,65,"Romance, Drama",US
Hocus Pocus 2,9/30/2022,74,"Fantasy, Comedy, Family",AU
Morbius,3/31/2022,62,"Action, Science Fiction, Fantasy",AU
Cars 2,6/11/2011,61,"Animation, Family, Adventure, Comedy",AU
Tangled,1/6/2011,76,"Animation, Family",AU
The Minute You Wake Up Dead,2/1/2023,57,"Thriller, Crime",AU
Fifty Shades of Grey,2/12/2015,59,"Drama, Romance, Thriller",AU
Harry Potter and the Deathly Hallows: Part 2,7/13/2011,81,"Fantasy, Adventure",AU
The Help,9/1/2011,82,Drama,AU
"Monsters, Inc.",12/26/2001,78,"Animation, Comedy, Family",AU
The Ice Age Adventures of Buck Wild,3/25/2022,67,"Animation, Comedy, Adventure, Family",AU
Samaritan,8/25/2022,68,"Action, Crime, Science Fiction",US
Godzilla vs. Kong,3/24/2021,77,"Action, Fantasy, Science Fiction",AU
Paradise City,1/1/2023,58,"Action, Crime, Thriller",AU
Shang-Chi and the Legend of the Ten Rings,9/2/2021,76,"Action, Adventure, Fantasy",AU
Zack Snyder's Justice League,3/18/2021,82,"Action, Adventure, Fantasy, Science Fiction",AU
Lightyear,6/16/2022,71,"Animation, Action, Adventure, Family, Science Fiction",AU
Ritual,9/7/2022,71,Thriller,BE
Love at First Kiss,3/3/2023,62,"Romance, Comedy",US
The Last Client,6/20/2022,76,"Thriller, Crime",DK
Suzume,4/13/2023,82,"Animation, Drama, Adventure, Fantasy",AU
Pirates of the Caribbean: At World's End,5/24/2007,72,"Adventure, Fantasy, Action",AU
King Shakir Recycle,7/14/2022,57,"Animation, Adventure, Family, Action, Comedy, Science Fiction",TR
The School for Good and Evil,10/19/2022,72,Fantasy,AU
Monstrous,5/13/2022,60,"Horror, Mystery, Thriller",US
Shrek 2,6/17/2004,72,"Animation, Family, Comedy, Fantasy, Adventure, Romance",AU
The Unbearable Weight of Massive Talent,4/21/2022,68,"Action, Comedy, Crime",AU
Fifty Shades Freed,1/17/2018,67,"Drama, Romance",AU
El tirabeque,11/25/2022,30,Comedy,ES
The Battle at Lake Changjin: Water Gate Bridge,2/11/2022,69,"War, History, Action, Drama",AU
Spider-Man: Into the Spider-Verse,12/13/2018,84,"Action, Adventure, Animation, Science Fiction",AU
Harry Potter and the Deathly Hallows: Part 1,11/13/2010,78,"Adventure, Fantasy",AU
Emily the Criminal,6/8/2022,68,"Crime, Drama, Thriller",AU
Emergency Declaration,8/3/2022,77,"Action, Drama, Mystery, Thriller",KR
Blood,1/27/2023,58,"Thriller, Horror",US
Memory,7/5/2022,70,"Action, Thriller, Crime",AU
Orgasm Lecture 2,2/20/2020,100,Drama,KR
Whisper,1/23/2022,64,"Horror, Thriller",GB
The Shack,4/27/2017,75,"Drama, Fantasy",AU
Eternals,11/4/2021,70,"Science Fiction, Action, Adventure",AU
Doraemon: Nobita's Little Star Wars 2021,3/4/2022,57,"Animation, Science Fiction, Adventure",JP
Dog,3/17/2022,74,"Drama, Comedy",AU
The Invitation,8/25/2022,64,"Horror, Thriller",AU
The Conjuring: The Devil Made Me Do It,6/3/2021,75,"Horror, Mystery, Thriller",AU
3-D Sex and Zen: Extreme Ecstasy,4/14/2011,48,"Drama, Adventure, Romance, Action, History",HK
Control,9/23/2022,54,"Science Fiction, Thriller, Mystery",US
Mortal Kombat,4/22/2021,71,"Action, Fantasy, Adventure",AU
Mortal Kombat,4/22/2021,71,"Action, Fantasy, Adventure",AU
Pirates of the Caribbean: The Curse of the Black Pearl,9/11/2003,78,"Adventure, Fantasy, Action",AU
Clifford the Big Red Dog,12/30/2021,72,"Family, Adventure, Comedy, Fantasy",AU
Dragon Knight,3/21/2022,69,"Fantasy, Adventure, Action",GB
Cruella,5/27/2021,81,"Comedy, Crime",AU
The Suicide Squad,8/5/2021,76,"Action, Comedy, Adventure",AU
Drifting Home,9/16/2022,76,"Animation, Drama, Fantasy, Adventure",JP
The Bad Guys,3/31/2022,77,"Animation, Action, Adventure, Crime, Comedy, Family",AU
The Remaining,9/5/2014,59,"Thriller, Horror",US
The Last: Naruto the Movie,12/6/2014,78,"Action, Romance, Animation",JP
Pirates of the Caribbean: On Stranger Tides,5/19/2011,65,"Adventure, Action, Fantasy",AU
There's Something Wrong with the Children,1/17/2023,61,"Horror, Mystery, Thriller",US
Prom Pact,3/31/2023,75,"Romance, Comedy",AU
Coco,12/26/2017,82,"Family, Animation, Fantasy, Music, Comedy, Adventure",AU
The Sea Beast,7/8/2022,75,"Animation, Adventure, Family, Fantasy",AU
Toy Story,12/7/1995,80,"Animation, Adventure, Family, Comedy",AU
The Boss Baby: Family Business,11/25/2021,75,"Animation, Comedy, Adventure, Family",AU
Housewife Sex Slaves: Hatano Yui,1/9/2015,0,,JP
The Independent,11/2/2022,73,"Thriller, Drama",US
Joseph,4/16/1995,82,"Drama, History",US
Fullmetal Alchemist: The Revenge of Scar,5/20/2022,68,"Fantasy, Action, Adventure",JP
Titanic,12/18/1997,79,"Drama, Romance",AU
The Hunger Games: Mockingjay - Part 1,11/20/2014,68,"Science Fiction, Adventure, Thriller",AU
The Autopsy of Jane Doe,12/9/2016,67,"Horror, Mystery",AU
Corrective Measures,4/29/2022,52,"Action, Science Fiction, Thriller",US
The Jack in the Box: Awakening,1/3/2022,64,Horror,GB
Choose or Die,4/15/2022,54,"Horror, Thriller, Science Fiction",GB
Project Wolf Hunting,10/13/2022,65,"Action, Thriller, Horror",AU
Lost Bullet 2,11/10/2022,65,"Action, Crime, Thriller",FR
Crawlspace,3/31/2022,66,Thriller,US
The Good Neighbor,9/1/2022,71,Thriller,AU
The Trapped 13: How We Survived The Thai Cave,10/5/2022,69,Documentary,TH
Groot's First Steps,8/10/2022,71,"Animation, Family, Comedy, Science Fiction",US
Son of God,2/28/2014,69,Drama,US
Sword Art Online the Movie -Progressive- Aria of a Starless Night,12/9/2021,80,"Animation, Action, Fantasy, Science Fiction",AU
Summer Ghost,11/12/2021,72,"Animation, Drama, Mystery, Fantasy",JP
Resident Evil: Welcome to Raccoon City,12/9/2021,61,"Horror, Science Fiction, Action",AU
Laid-Back Camp The Movie,7/1/2022,76,"Animation, Comedy",JP
The Pale Blue Eye,12/22/2022,70,"Mystery, Thriller",AU
The Lion King,8/25/1994,83,"Family, Animation, Drama",AU
The Lion King,8/25/1994,83,"Family, Animation, Drama",AU
Avengers: Age of Ultron,4/23/2015,73,"Action, Adventure, Science Fiction",AU
Me Before You,6/16/2016,79,"Drama, Romance",AU
Luca,6/18/2021,79,"Animation, Comedy, Fantasy, Adventure",AU
Pirates of the Caribbean: Dead Man's Chest,7/6/2006,73,"Adventure, Fantasy, Action",AU
The Menu,11/18/2022,72,"Horror, Thriller, Comedy",AU
Ice Age,3/21/2002,73,"Animation, Comedy, Family, Adventure",AU
Eureka: Eureka Seven Hi-Evolution,11/26/2021,61,"Animation, Drama, Adventure, Science Fiction",JP
The Little Mermaid,7/5/1990,73,"Animation, Family, Fantasy",AU
Shrek Forever After,7/2/2010,63,"Comedy, Adventure, Fantasy, Animation, Family",AU
Ghostbusters: Afterlife,1/1/2022,75,"Fantasy, Comedy, Adventure",AU
Sonic the Hedgehog,2/13/2020,74,"Action, Science Fiction, Comedy, Family",AU
Teasing Master Takagi-san: The Movie,6/10/2022,86,"Animation, Comedy, Romance",JP
Dragon Ball Z: Resurrection 'F',4/18/2015,68,"Action, Animation, Science Fiction",JP
The Guardians of the Galaxy Holiday Special,11/25/2022,73,"Comedy, Science Fiction, Adventure",AU
Secret Headquarters,8/12/2022,68,"Action, Adventure, Comedy, Science Fiction, Family",US
The Princess and the Frog,1/10/2010,72,"Romance, Family, Animation",AU
365 Days: This Day,4/27/2022,59,"Romance, Drama",AU
Faraway,3/8/2023,68,"Romance, Comedy",DE
Hellhole,10/26/2022,60,Horror,PL
To Kill the Beast,4/28/2022,60,"Mystery, Fantasy, Thriller",BR
Zootopia,3/17/2016,77,"Animation, Adventure, Family, Comedy",AU
The Book of Daniel,10/1/2013,73,"Fantasy, Drama",US
Lesson Plan,11/23/2022,63,"Action, Crime",AU
Free Guy,9/9/2021,76,"Comedy, Adventure, Science Fiction",AU
Malvada,12/29/2022,74,"Comedy, Fantasy, Romance",MX
Diary of a Wimpy Kid: Rodrick Rules,12/2/2022,71,"Animation, Comedy, Family",US
Iron Man 2,4/29/2010,68,"Adventure, Action, Science Fiction",AU
The Conjuring,7/18/2013,75,"Horror, Thriller",AU
Fast & Furious Presents: Hobbs & Shaw,8/1/2019,69,"Action, Adventure, Comedy",AU
The Library Boys,11/29/2022,43,Comedy,AU
The Maze Runner,9/12/2014,72,"Action, Mystery, Science Fiction, Thriller",AU
Blueback,1/1/2023,62,"Drama, Adventure, Family",AU
The King's Man,1/6/2022,68,"Action, Adventure, Thriller, War, Mystery",AU
The Hobbit: The Battle of the Five Armies,12/26/2014,73,"Action, Adventure, Fantasy",AU
"Miraculous World: New York, United HeroeZ",9/26/2020,82,"Animation, TV Movie, Fantasy, Action",FR
Mary Magdalene,3/22/2018,63,"Drama, History",AU
The Pilgrim's Progress,4/18/2019,78,"Animation, Adventure",US
Red Notice,11/4/2021,68,"Action, Comedy, Crime, Thriller",AU
Solo Somos Carne,10/13/2022,63,Horror,GT
Groot Takes a Bath,8/10/2022,71,"Animation, Family, Comedy, Science Fiction",US
X,3/24/2022,68,"Horror, Mystery, Thriller",AU
The Croods: A New Age,4/7/2021,75,"Animation, Family, Adventure, Fantasy, Comedy",AU
Boruto: Naruto the Movie,8/7/2015,76,"Animation, Action, Comedy",JP
Thor: Ragnarok,10/26/2017,76,"Action, Adventure, Fantasy, Science Fiction, Comedy",AU
Barbie,7/21/2023,0,Comedy,US
Noah,3/27/2014,56,"Drama, Adventure",AU
The Seven Deadly Sins: Cursed by Light,7/2/2021,78,"Animation, Fantasy",JP
The Girl from the Other Side,3/10/2022,68,"Animation, Drama, Mystery, Fantasy",JP
Enola Holmes 2,11/4/2022,76,"Mystery, Adventure, Comedy, Crime",AU
Ant-Man,7/16/2015,71,"Science Fiction, Action, Adventure",AU
Scream,2/13/1997,74,"Crime, Horror, Mystery",AU
Scream,2/13/1997,74,"Crime, Horror, Mystery",AU
Frozen II,12/28/2019,73,"Family, Animation, Adventure, Comedy, Fantasy",AU
Shrek the Third,6/7/2007,63,"Fantasy, Adventure, Animation, Comedy, Family",AU
Ratatouille,9/6/2007,78,"Animation, Comedy, Family, Fantasy",AU
Maneater,8/26/2022,49,"Mystery, Thriller, Horror",US
Raya and the Last Dragon,3/4/2021,79,"Animation, Family, Fantasy, Action, Adventure",AU
Slumberland,11/18/2022,75,"Family, Fantasy",AU
PAW Patrol: The Movie,8/21/2021,75,"Animation, Family, Adventure, Comedy",AU
Deadpool,2/11/2016,76,"Action, Adventure, Comedy",AU
The Good Dinosaur,1/1/2016,68,"Adventure, Animation, Family",AU
Last Seen Alive,5/19/2022,66,"Action, Thriller",AU
We Have a Ghost,2/24/2023,66,"Comedy, Fantasy, Family, Adventure",US
